gene,inspi2,inspi2,inspi2,inspi2,inspi2lowmg,inspi2lowmg,inspi2lowmg,inspi2lowmg,inspi2cip,inspi2cip,inspi2cip,inspi2cip,inspi2hypoxic,inspi2hypoxic,inspi2hypoxic,inspi2hypoxic,Functional_category
b1000,0.987914822,0.986472676,0.975478034,0.980827439,0.920148092,0.961979605,0.965438869,0.973932188,0.917828896,0.901715971,0.881871843,0.90004265,1.023892747,1.007939949,1.00580961,1.012208701,O
b1094,0.564644119,0.581363752,0.569933468,0.586030488,0.671288003,0.65668368,0.655894504,0.63811141,0.695784477,0.694977234,0.754185578,0.623916558,0.646738886,0.650901371,0.644068376,0.662259625,O
b1763,0,0,0,0,0,0,0,0,0,0,0,0,0.379200262,0.347705369,0,0.388300485,I
b1718,0.935293904,0.920266912,0.925160947,0.931538077,0.882708694,0.90965978,0.928690218,0.928586837,0.889138422,0.867050832,0.865178622,0.863037465,1.007778017,1.005444854,1.008821822,1.001076219,I
b1686,0.959924565,0.964993163,0.951317404,0.959210289,0.937824189,0.964516945,0.957847481,0.962169131,0.931012839,0.911368987,0.907477032,0.911147905,1.021903312,1.010277498,1.005942136,1.017759696,O
b1290,0.708857079,0.705836417,0.706021016,0.771222711,0.691867861,0.696063761,0.715843374,0.723214908,0.554247772,0.544680603,0.616560999,0.552876111,0.740846899,0.752569657,0.797400522,0.786735219,O
b1913,0,0,0,0.403346606,0,0,0,0.427943171,0,0,0,0,0,0.35189151,0,0.392975364,I
b2341,0.894934823,0.906602581,0.884366472,0.928478656,0.934227381,0.996107575,0.981035269,0.968708449,0.980297971,0.919462155,0.949902635,0.920872473,0.915687863,0.898328739,0.906692249,0.922150001,O
b2530,0.718832781,0.721945041,0.710009204,0.733996092,0.798151704,0.818365785,0.825334314,0.771493334,0.742129431,0.733301477,0.725397375,0.705068387,0.779300596,0.768288737,0.790352035,0.796926402,O
b2576,0.89638035,0.936270767,0.894706398,0.947536691,1.292185989,1.266274942,1.267098537,1.070369616,1.081517355,1.063334422,1.072445257,1.066999307,0.833613589,0.83813801,0.838718107,0.855802828,I
b2990,0.954348577,0.947487352,0.944496219,0.955093044,0.916011392,0.961541558,0.955014687,0.959167415,0.934235536,0.933396472,0.91184339,0.915368033,1.01190106,0.995268722,0.990441168,1.000166753,O
b3006,0.966169025,0.968453602,0.954600142,0.977323956,0.948900411,0.994030285,0.980167002,0.983690877,0.940770438,0.923555975,0.922319372,0.923055493,1.005241909,0.994000415,0.995938998,1.008182567,O
b3071,0.898194012,0.902567461,0.884205699,0.899625685,0.880505638,0.92079991,0.927512728,0.933148022,0.910457968,0.896139683,0.910237668,0.851398878,0.938588286,0.926870796,0.941247026,0.949612001,I
b3164,0.652591586,0.655769158,0.63875817,0.672627322,0.691231168,0.710932032,0.70308112,0.697310696,0.719421736,0.705496542,0.726737505,0.683132704,0.7442661,0.724839746,0.735781649,0.7347604,I
b3417,0.577273733,0.533128575,0.533845139,0.55885077,0,0.516407347,0.515786749,0.512554228,0.453769543,0,0,0,0.602132023,0.591694541,0.616654804,0.606715431,O
b3560,0.810174505,0.8257701,0.817966041,0.794180552,0.883086973,0.904863713,0.912889572,0.864987349,0.804609215,0.765404959,0.79932229,0.771113015,0.803663821,0.792598279,0.805198262,0.80683735,I
b3590,0.780426591,0.791722719,0.764171347,0.814724306,1.012722123,1.011879755,0.994281232,0.864138831,0.902425848,0.897171897,0.921900075,0.867663761,0.748309218,0.754092244,0.757506032,0.761927008,I
b3602,0.936352272,0.959537526,0.946166445,0.962281352,1.005469912,1.036682674,1.014102347,0.98537832,0.914992689,0.892843609,0.865731145,0.932924604,0.930529891,0.937883447,0.933696803,0.952643723,N
b3686,0.977474127,0.975909867,0.958324391,0.974497287,0.948035219,0.981815956,0.985456959,0.987219525,0.901758257,0.886517136,0.879224005,0.891682584,0.986072893,0.985296586,0.991973933,0.983470143,O
b3725,0.723324855,0.731038099,0.717393219,0.741583597,0.8591548,0.853839112,0.842213714,0.802640907,0.77638633,0.753407423,0.765168744,0.743725179,0.678726962,0.687815992,0.739440762,0.719986056,O
b4000,0.827500987,0.845085208,0.812471919,0.858203672,0.976449498,1.013072591,0.99931676,0.9523765,1.199275849,1.169162025,1.293112962,1.078648862,0.861873681,0.863554741,0.871260753,0.88376571,I
b4043,0.719011243,0.688589771,0.682983914,0.705228418,0.702609531,0.738409716,0.743169352,0.719346783,0.497404846,0.537154751,0,0,0.804245955,0.80458118,0.833897113,0.830473644,IO
b4172,1.0351498,1.087459519,1.062316526,1.091682096,1.262899273,1.296215251,1.31439538,1.200645227,1.201738149,1.225924428,1.22641996,1.249597653,0.993610506,0.987240018,0.997998885,1.019129219,I
b4203,0.990732375,0.980850252,0.975222957,0.981667835,0.939980743,0.969644557,0.966370945,0.977770646,0.927883965,0.912002257,0.91407041,0.903208828,1.038169357,1.030920475,1.038784887,1.040385454,I
b4243,0.979856289,0.988703597,0.978030343,0.981714782,0.973341225,0.995070631,0.982759195,0.989227784,0.963501753,0.953347528,0.93511047,0.940600858,1.044059839,1.020665586,1.00859588,1.02599813,O
b4373,0.985459131,0.993195657,0.980291416,0.988494488,0.969912281,1.000734139,0.991162768,0.992795966,0.966987172,0.94781042,0.940769505,0.933299129,1.048277417,1.034790004,1.030979046,1.032649657,I
