Genes,aTc,W
b0780_4,aTc_0,0.924212011
b0780_4,aTc_2,0.952965745
b0780_4,aTc_4,0.932859693
b0780_4,aTc_6,0.944816317
b0780_4,aTc_8,0.855254155
b0785_1,aTc_0,1.049313631
b0785_1,aTc_2,1.099780273
b0785_1,aTc_4,1.030586966
b0785_1,aTc_6,1.018197559
b0785_1,aTc_8,1.115748724
b0785_2,aTc_0,0.968759513
b0785_2,aTc_2,1.047059022
b0785_2,aTc_4,0.934662809
b0785_2,aTc_6,1.045378989
b0785_2,aTc_8,1.150964266
b0785_3,aTc_0,0.932431652
b0785_3,aTc_2,1.025821275
b0785_3,aTc_4,0.970930437
b0785_3,aTc_6,0.93502242
b0785_3,aTc_8,1.011875181
b0785_4,aTc_0,0.897108385
b0785_4,aTc_2,0.989910569
b0785_4,aTc_4,0.849449724
b0785_4,aTc_6,0.90081689
b0785_4,aTc_8,1.049752978
b0812_1,aTc_0,1.031774752
b0812_1,aTc_2,1.012253895
b0812_1,aTc_4,1.007938749
b0812_1,aTc_6,0.904341408
b0812_1,aTc_8,1.007883253
b0812_2,aTc_0,1.047859782
b0812_2,aTc_2,1.065503429
b0812_2,aTc_4,1.089100999
b0812_2,aTc_6,1.036402341
b0812_2,aTc_8,1.129335718
b0812_3,aTc_0,0.922377575
b0812_3,aTc_2,0.941696476
b0812_3,aTc_4,0.922222343
b0812_3,aTc_6,0.898678255
b0812_3,aTc_8,0.917148707
b0812_4,aTc_0,0.972291439
b0812_4,aTc_2,1.002045598
b0812_4,aTc_4,1.02767565
b0812_4,aTc_6,1.03313065
b0812_4,aTc_8,1.066689072
b0880_1,aTc_0,1.706608766
b0880_1,aTc_2,1.292121368
b0880_1,aTc_4,1.131757063
b0880_1,aTc_6,1.119721805
b0880_1,aTc_8,0.904916507
b0880_2,aTc_0,1.067695647
b0880_2,aTc_2,0.864244693
b0880_2,aTc_4,0.761479731
b0880_2,aTc_6,0.912456069
b0880_2,aTc_8,1.16971135
b0880_3,aTc_0,1.554064533
b0880_3,aTc_2,0.911865397
b0880_3,aTc_4,0.780804331
b0880_3,aTc_6,0.832227795
b0880_3,aTc_8,0.775680498
b0880_4,aTc_0,0.969020107
b0880_4,aTc_2,0.915557395
b0880_4,aTc_4,0.642416658
b0880_4,aTc_6,0.975402745
b0880_4,aTc_8,0.842560661
b0882_1,aTc_0,1.013254695
b0882_1,aTc_2,0.920051978
b0882_1,aTc_4,0.799988666
b0882_1,aTc_6,0.806945222
