Genes,aTc,W
b0785_1,aTc_0,1.020356183
b0785_1,aTc_2,0.971167361
b0785_1,aTc_4,1.03526126
b0785_1,aTc_6,1.007788772
b0785_1,aTc_8,1.00903856
b0785_2,aTc_0,0.968180991
b0785_2,aTc_2,1.060713009
b0785_2,aTc_4,1.002780168
b0785_2,aTc_6,1.0396898
b0785_2,aTc_8,0.997552284
b0785_3,aTc_0,1.054472544
b0785_3,aTc_2,1.063128603
b0785_3,aTc_4,1.023162609
b0785_3,aTc_6,0.994487274
b0785_3,aTc_8,0.984206247
b0785_4,aTc_0,0.930674504
b0785_4,aTc_2,1.028470922
b0785_4,aTc_4,1.011927375
b0785_4,aTc_6,0.997440494
b0785_4,aTc_8,1.009014631
b0812_1,aTc_0,0.971889027
b0812_1,aTc_2,0.937923174
b0812_1,aTc_4,1.002589904
b0812_1,aTc_6,1.001403006
b0812_1,aTc_8,0.95914267
b0812_2,aTc_0,1.004624918
b0812_2,aTc_2,1.013586901
b0812_2,aTc_4,1.063881174
b0812_2,aTc_6,1.007070895
b0812_2,aTc_8,1.035043642
b0812_3,aTc_0,0.981886771
b0812_3,aTc_2,1.062513017
b0812_3,aTc_4,0.991291247
b0812_3,aTc_6,0.941724059
b0812_3,aTc_8,0.931552686
b0812_4,aTc_0,0.981106189
b0812_4,aTc_2,1.016553173
b0812_4,aTc_4,1.065024402
b0812_4,aTc_6,1.013794592
b0812_4,aTc_8,1.049385993
b0880_1,aTc_0,1.008301364
b0880_1,aTc_2,1.0195007
b0880_1,aTc_4,0.829351841
b0880_1,aTc_6,0.733750526
b0880_1,aTc_8,0.654424823
b0880_2,aTc_0,0.971499088
b0880_2,aTc_2,1.062251651
b0880_2,aTc_4,0.790026675
b0880_2,aTc_6,0.729263873
b0880_2,aTc_8,0.667462133
b0880_3,aTc_0,1.01608897
b0880_3,aTc_2,0.960429186
b0880_3,aTc_4,0.756300094
b0880_3,aTc_6,0.677740444
b0880_3,aTc_8,0.600115292
b0880_4,aTc_0,0.94875202
b0880_4,aTc_2,0.940622561
b0880_4,aTc_4,0.737274561
b0880_4,aTc_6,0.696331642
b0880_4,aTc_8,0.633139902
b0882_1,aTc_0,1.027301057
b0882_1,aTc_2,0.922112007
b0882_1,aTc_4,0.861801658
b0882_1,aTc_6,0.825864822
b0882_1,aTc_8,0.798132549
b0882_2,aTc_0,0.980493707
b0882_2,aTc_2,0.941933041
b0882_2,aTc_4,0.853754237
b0882_2,aTc_6,0.859510965
b0882_2,aTc_8,0.844759951
b0882_3,aTc_0,0.969688971
b0882_3,aTc_2,0.942868243
b0882_3,aTc_4,0.850352168
b0882_3,aTc_6,0.825466366
b0882_3,aTc_8,0.788656459
b0882_4,aTc_0,0.940184924
b0882_4,aTc_2,0.937678044
b0882_4,aTc_4,0.836277441
b0882_4,aTc_6,0.837957711
b0882_4,aTc_8,0.817480962
b0891_1,aTc_0,1.068522142
b0891_1,aTc_2,1.078306292
b0891_1,aTc_4,1.030396885
b0891_1,aTc_6,0.984011498
b0891_1,aTc_8,0.976549971
b0891_2,aTc_0,1.01014942
b0891_2,aTc_2,0.971425202
b0891_2,aTc_4,0.950058739
b0891_2,aTc_6,0.999776734
b0891_2,aTc_8,0.970670128
b0891_3,aTc_0,1.059785475
b0891_3,aTc_2,1.007593874
b0891_3,aTc_4,0.96164762
b0891_3,aTc_6,0.953656347
b0891_3,aTc_8,0.974623832
b0891_4,aTc_0,1.004322276
b0891_4,aTc_2,0.97273127
b0891_4,aTc_4,0.973006461
b0891_4,aTc_6,0.936990372
b0891_4,aTc_8,0.96922015
b0948_1,aTc_0,1.033477066
b0948_1,aTc_2,1.042087018
b0948_1,aTc_4,1.041081411
b0948_1,aTc_6,1.006779164
b0948_1,aTc_8,1.031508469
b0948_2,aTc_0,1.027645155
b0948_2,aTc_2,0.998874533
b0948_2,aTc_4,0.989108115
b0948_2,aTc_6,0.964595843
b0948_2,aTc_8,1.05037333
b0948_3,aTc_0,1.047481366
b0948_3,aTc_2,1.030802559
b0948_3,aTc_4,0.97164983
b0948_3,aTc_6,0.945749095
b0948_3,aTc_8,1.042693362
b0948_4,aTc_0,0.979860747
b0948_4,aTc_2,0.992110296
b0948_4,aTc_4,0.974095472
b0948_4,aTc_6,0.989805748
b0948_4,aTc_8,1.024409804
b1000_1,aTc_0,0.970727406
b1000_1,aTc_2,0.990156646
b1000_1,aTc_4,0.99977658
b1000_1,aTc_6,0.962073289
b1000_1,aTc_8,0.989930955
b1000_2,aTc_0,1.042586207
b1000_2,aTc_2,1.022351506
b1000_2,aTc_4,1.048545545
b1000_2,aTc_6,1.025103538
b1000_2,aTc_8,1.056851574
b1000_3,aTc_0,1.037562504
b1000_3,aTc_2,1.011785133
b1000_3,aTc_4,1.009548331
b1000_3,aTc_6,0.981420512
b1000_3,aTc_8,1.012348499
b1000_4,aTc_0,1.052496168
b1000_4,aTc_2,0.949994093
b1000_4,aTc_4,1.046183592
b1000_4,aTc_6,1.023039308
b1000_4,aTc_8,1.063619941
b1084_1,aTc_0,1.003614802
b1084_1,aTc_2,0.890529113
b1084_1,aTc_4,0.526631654
b1084_1,aTc_6,0.43487299
b1084_1,aTc_8,0.400618193
b1084_2,aTc_0,0.983594856
