Genes,aTc,W
b0785_1,aTc_8,0.990693033
b0785_2,aTc_0,0.942444536
b0785_2,aTc_2,1.487846061
b0785_2,aTc_4,1.111132445
b0785_2,aTc_6,1.580673354
b0785_2,aTc_8,2.11515018
b0785_3,aTc_0,1.012253562
b0785_3,aTc_2,1.084555013
b0785_3,aTc_4,1.246603358
b0785_3,aTc_6,0.725592
b0785_3,aTc_8,0.790217185
b0785_4,aTc_0,1.019471592
b0785_4,aTc_2,0.847782816
b0785_4,aTc_4,1.359282985
b0785_4,aTc_6,0.844947857
b0785_4,aTc_8,1.125926974
b0812_1,aTc_0,0.555312059
b0812_1,aTc_2,0.892648144
b0812_1,aTc_4,0.938033283
b0812_1,aTc_6,0.94672207
b0812_1,aTc_8,1.030485462
b0812_2,aTc_0,1.260898481
b0812_2,aTc_2,1.071733681
b0812_2,aTc_4,1.260016201
b0812_2,aTc_6,0.98513368
b0812_2,aTc_8,1.378369359
b0812_3,aTc_0,0.852355537
b0812_3,aTc_2,1.103393908
b0812_3,aTc_4,0.952002328
b0812_3,aTc_6,0.780537172
b0812_3,aTc_8,0.841341324
b0812_4,aTc_0,1.198852674
b0812_4,aTc_2,0.76586917
b0812_4,aTc_4,0.864270489
b0812_4,aTc_6,0.988249003
b0812_4,aTc_8,0.967695859
b0880_1,aTc_0,0.824187384
b0880_1,aTc_2,0.73863611
b0880_1,aTc_4,0.527727686
b0880_1,aTc_6,0.752818496
b0880_1,aTc_8,0.685636005
b0880_2,aTc_0,0.966628286
b0880_2,aTc_2,0.950195779
b0880_2,aTc_4,0.642818194
b0880_2,aTc_6,0.807072239
b0880_2,aTc_8,0.701916606
b0880_3,aTc_0,0.964014193
b0880_3,aTc_2,1.082505046
b0880_3,aTc_4,0.867338431
b0880_3,aTc_6,0.920603042
b0880_3,aTc_8,0.684438369
b0880_4,aTc_0,0.926324088
b0880_4,aTc_2,0.799685567
b0880_4,aTc_4,0.623858599
b0880_4,aTc_6,0.691658698
b0880_4,aTc_8,0.732230426
b0882_1,aTc_0,0.732024024
b0882_1,aTc_2,0.608169372
b0882_1,aTc_4,0.82448645
b0882_1,aTc_6,0.916065344
b0882_1,aTc_8,0.799309586
b0882_2,aTc_0,1.022386041
b0882_2,aTc_2,0.606593459
b0882_2,aTc_4,0.833820868
b0882_2,aTc_6,1.314175871
b0882_2,aTc_8,1.275483048
b0882_3,aTc_0,0.94326569
b0882_3,aTc_2,0.628907492
b0882_3,aTc_4,1.186347595
b0882_3,aTc_6,0.724174105
b0882_3,aTc_8,0.774558253
b0882_4,aTc_0,0.954561857
b0882_4,aTc_2,0.890687156
b0882_4,aTc_4,0.535284503
b0882_4,aTc_6,1.052607451
b0882_4,aTc_8,1.306267554
b0891_1,aTc_0,0.74191977
b0891_1,aTc_2,0.946272307
b0891_1,aTc_4,0.803383822
b0891_1,aTc_6,0.710563531
b0891_1,aTc_8,0.871216489
b0891_2,aTc_0,1.067054775
b0891_2,aTc_2,0.956504171
b0891_2,aTc_4,0.847192917
b0891_2,aTc_6,0.945813563
b0891_2,aTc_8,0.591936147
b0891_3,aTc_0,1.538546105
b0891_3,aTc_2,0.934600392
b0891_3,aTc_4,1.179579087
b0891_3,aTc_6,0.743700415
b0891_3,aTc_8,0.82271161
b0891_4,aTc_0,1.259853943
b0891_4,aTc_2,0.960858081
b0891_4,aTc_4,1.000169211
b0891_4,aTc_6,1.336657298
