Genes,aTc,W
b0948_4,aTc_4,0.910668279
b0948_4,aTc_6,0.871040598
b0948_4,aTc_8,0.898962832
b1000_1,aTc_0,1.008544642
b1000_1,aTc_2,1.079577321
b1000_1,aTc_4,1.033612854
b1000_1,aTc_6,1.004827989
b1000_1,aTc_8,0.995593925
b1000_2,aTc_0,1.075611311
b1000_2,aTc_2,1.008349418
b1000_2,aTc_4,1.069704895
b1000_2,aTc_6,1.020087066
b1000_2,aTc_8,1.102146141
b1000_3,aTc_0,0.908960439
b1000_3,aTc_2,0.919574001
b1000_3,aTc_4,0.91160603
b1000_3,aTc_6,0.858715803
b1000_3,aTc_8,0.856276807
b1000_4,aTc_0,0.944694714
b1000_4,aTc_2,0.884558479
b1000_4,aTc_4,0.895331921
b1000_4,aTc_6,0.8546474
b1000_4,aTc_8,0.907379373
b1084_1,aTc_0,1.114787665
b1084_1,aTc_2,0.565158186
b1084_1,aTc_4,0.460639411
b1084_1,aTc_6,0.409790199
b1084_1,aTc_8,0.376775942
b1084_2,aTc_0,1.079961631
b1084_2,aTc_2,0.56692146
b1084_2,aTc_4,0.466629693
b1084_2,aTc_6,0.407435269
b1084_2,aTc_8,0.398640959
b1084_3,aTc_0,0.872505246
b1084_3,aTc_2,0.457619903
b1084_3,aTc_4,0.394422681
b1084_3,aTc_6,0.345375
b1084_3,aTc_8,0.316627862
b1084_4,aTc_0,0.883434725
b1084_4,aTc_2,0.452265162
b1084_4,aTc_4,0.386445433
b1084_4,aTc_6,0.335230431
b1084_4,aTc_8,0.297870159
b1094_1,aTc_0,1.132466146
b1094_1,aTc_2,0.745681897
b1094_1,aTc_4,0.703949325
b1094_1,aTc_6,0.723021197
b1094_1,aTc_8,0.725078485
b1094_2,aTc_0,1.139974333
b1094_2,aTc_2,0.75485274
b1094_2,aTc_4,0.727424906
b1094_2,aTc_6,0.712504989
b1094_2,aTc_8,0.743630771
b1094_3,aTc_0,0.898069857
b1094_3,aTc_2,0.706155518
b1094_3,aTc_4,0.599548069
b1094_3,aTc_6,0.579747213
b1094_3,aTc_8,0.564787375
b1094_4,aTc_0,0.939428926
b1094_4,aTc_2,0.669108514
b1094_4,aTc_4,0.625313015
b1094_4,aTc_6,0.563653192
b1094_4,aTc_8,0.55948173
b1763_1,aTc_0,1.145194261
b1763_1,aTc_2,0.619409826
b1763_1,aTc_4,0.560468894
b1763_1,aTc_6,0.563590788
b1763_1,aTc_8,0.576755507
b1763_2,aTc_0,1.170284447
b1763_2,aTc_2,0.599493203
b1763_2,aTc_4,0.581967953
b1763_2,aTc_6,0.592110516
b1763_2,aTc_8,0.592679358
b1763_3,aTc_0,0.889791449
b1763_3,aTc_2,0.596027085
b1763_3,aTc_4,0.456433173
b1763_3,aTc_6,0.467908272
b1763_3,aTc_8,0.487990295
b1763_4,aTc_0,0.837627666
b1763_4,aTc_2,0.523906055
b1763_4,aTc_4,0.478636374
b1763_4,aTc_6,0.471576084
b1763_4,aTc_8,0.487009088
b1686_1,aTc_0,1.102362437
b1686_1,aTc_2,1.063367478
b1686_1,aTc_4,1.10734377
b1686_1,aTc_6,1.078118501
b1686_1,aTc_8,1.108306898
b1686_2,aTc_0,1.119241451
b1686_2,aTc_2,1.057696524
b1686_2,aTc_4,1.102624761
b1686_2,aTc_6,1.152774136
b1686_2,aTc_8,1.221650615
b1686_3,aTc_0,0.918918325
b1686_3,aTc_2,0.922932186
b1686_3,aTc_4,0.930058596
b1686_3,aTc_6,0.933734581
b1686_3,aTc_8,0.937235859
b1686_4,aTc_0,0.869263033
b1686_4,aTc_2,0.873245946
b1686_4,aTc_4,0.912428788
b1686_4,aTc_6,0.940724628
b1686_4,aTc_8,0.962559521
b1718_1,aTc_0,1.199870785
b1718_1,aTc_2,1.152738975
b1718_1,aTc_4,1.156890582
b1718_1,aTc_6,1.118873028
b1718_1,aTc_8,1.114786872
b1718_2,aTc_0,1.171497193
b1718_2,aTc_2,1.092181719
b1718_2,aTc_4,1.121076523
b1718_2,aTc_6,1.093557258
b1718_2,aTc_8,1.144765118
b1718_3,aTc_0,0.859255695
b1718_3,aTc_2,0.868465227
b1718_3,aTc_4,0.90790614
b1718_3,aTc_6,0.927360616
b1718_3,aTc_8,0.941259062
b1718_4,aTc_0,0.956501289
b1718_4,aTc_2,0.917719223
b1718_4,aTc_4,0.892876264
b1718_4,aTc_6,0.879506131
b1718_4,aTc_8,0.914520021
b1290_1,aTc_0,1.158845782
b1290_1,aTc_2,1.105651275
b1290_1,aTc_4,0.963515068
b1290_1,aTc_6,0.846694784
b1290_1,aTc_8,0.909215085
b1290_2,aTc_0,1.140314398
b1290_2,aTc_2,0.953803068
b1290_2,aTc_4,0.885602677
b1290_2,aTc_6,0.829672988
b1290_2,aTc_8,0.908897565
b1290_3,aTc_0,0.844385082
b1290_3,aTc_2,0.867170416
b1290_3,aTc_4,0.882544501
b1290_3,aTc_6,0.77998413
b1290_3,aTc_8,0.783955255
b1290_4,aTc_0,0.877125174
b1290_4,aTc_2,0.752596044
b1290_4,aTc_4,0.876644087
b1290_4,aTc_6,0.788452318
b1290_4,aTc_8,0.723426292
b1913_1,aTc_0,1.190695476
b1913_1,aTc_2,0.647722183
b1913_1,aTc_4,0.579406665
b1913_1,aTc_6,0.511043432
b1913_1,aTc_8,0.565507712
b1913_2,aTc_0,1.201216782
b1913_2,aTc_2,0.540838735
b1913_2,aTc_4,0.448740481
b1913_2,aTc_6,0.520161518
b1913_2,aTc_8,0.589739235
b1913_3,aTc_0,0.831325745
b1913_3,aTc_2,0.316190166
b1913_3,aTc_4,0.091676244
b1913_3,aTc_6,0.116743136
b1913_3,aTc_8,0.131569188
b1913_4,aTc_0,0.885179684
b1913_4,aTc_2,0.343894915
b1913_4,aTc_4,0.246012825
b1913_4,aTc_6,0.28230019
b1913_4,aTc_8,0.258418121
b2341_1,aTc_0,1.071531462
b2341_1,aTc_2,0.945741677
b2341_1,aTc_4,0.969200783
b2341_1,aTc_6,0.8869431
b2341_1,aTc_8,0.88900589
b2341_2,aTc_0,1.187381111
b2341_2,aTc_2,0.974455334
b2341_2,aTc_4,1.041443052
b2341_2,aTc_6,1.009804025
b2341_2,aTc_8,1.006971508
b2341_3,aTc_0,0.895998355
b2341_3,aTc_2,0.759214716
b2341_3,aTc_4,0.830258953
b2341_3,aTc_6,0.78842392
b2341_3,aTc_8,0.761537243
b2341_4,aTc_0,0.914599189
b2341_4,aTc_2,0.822871492
b2341_4,aTc_4,0.866281414
b2341_4,aTc_6,0.866097536
b2341_4,aTc_8,0.840933585
b2530_1,aTc_0,1.165475393
b2530_1,aTc_2,0.947890176
b2530_1,aTc_4,0.839777499
b2530_1,aTc_6,0.772840865
b2530_1,aTc_8,0.785457285
b2530_2,aTc_0,1.154368497
b2530_2,aTc_2,0.869424397
b2530_2,aTc_4,0.808975464
